method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,461,461,160,100,10,1.0,0.5,4000,7,5;29;45;49;51;56;65;83;86;98,5;29;45;49;51;56;98,29,700,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9444444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7294183863328096
last_flow,lasso_recovery,simple,462,462,160,100,10,1.0,0.5,4000,6,28;35;38;41;42;50;81;82;85;91,28;35;38;41;50;91,33,800,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9377777777777776,0.85,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7734607996814851
last_flow,lasso_recovery,simple,463,463,160,100,10,1.0,0.5,4000,5,10;12;29;46;51;73;77;84;91;95,51;73;77;91;95,33,800,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.84,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8803440189950718
last_flow,lasso_recovery,simple,464,464,160,100,10,1.0,0.5,4000,9,12;16;21;23;25;37;46;53;70;82,12;16;21;23;25;46;53;70;82,28,675,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,0.9444444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7631937130857964
last_flow,lasso_recovery,simple,465,465,160,100,10,1.0,0.5,4000,8,3;8;16;23;30;46;51;81;88;96,3;8;16;23;46;51;88;96,29,700,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9383333333333332,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7474756603164205
last_flow,lasso_recovery,simple,466,466,160,100,10,1.0,0.5,4000,7,4;20;26;31;44;52;57;59;91;99,4;20;26;31;44;57;59,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9444444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9245750950038034
last_flow,lasso_recovery,simple,467,467,160,100,10,1.0,0.5,4000,8,1;28;32;34;50;60;67;73;79;86,1;28;34;50;60;73;79;86,33,800,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9466666666666664,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8127024111803072
last_flow,lasso_recovery,simple,468,468,160,100,10,1.0,0.5,4000,6,6;16;29;33;36;51;58;78;80;86,16;33;36;58;78;80,31,750,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8855555555555557,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8551757785803034
last_flow,lasso_recovery,simple,469,469,160,100,10,1.0,0.5,4000,8,20;30;65;67;69;70;76;91;94;97,20;30;67;69;70;76;91;94,29,700,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9466666666666664,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.0515153969117597
last_flow,lasso_recovery,simple,470,470,160,100,10,1.0,0.5,4000,6,9;12;18;25;31;50;53;60;76;92,12;18;25;31;60;76,26,625,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9416666666666668,0.8742857142857143,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.0419889048764222
last_flow,lasso_recovery,simple,471,471,160,100,10,1.0,0.5,4000,6,0;2;13;24;31;38;42;50;84;93,0;2;31;38;42;84,34,825,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9444444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8395910010156475
