seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
404,true_active_true_active,53,52,54,53,-1.5559489,-1.4039316,1.0,1.0,1.0,1.0,12.823550418894051,13.858794717658176,15.986463901013398
404,true_active_true_active,53,51,54,52,-1.5559489,1.1569318,1.0,1.0,1.0,1.0,12.823550418894051,14.065675118046057,16.97531629206547
404,true_active_true_active,53,1,54,2,-1.5559489,-1.4139572,1.0,1.0,1.0,1.0,12.823550418894051,14.949094597629223,16.44098836756112
404,true_active_true_active,53,32,54,33,-1.5559489,1.9368105,1.0,1.0,1.0,1.0,12.823550418894051,15.593709731591343,17.10566982045732
404,true_active_true_active,96,61,97,62,-0.7217069,-1.9925004,1.0,1.0,0.886875,1.0,12.972769331859846,13.564469331042037,17.301661036795675
404,true_active_true_active,96,73,97,74,-0.7217069,0.7189072,1.0,1.0,0.886875,0.65625,12.972769331859846,13.66675539858194,17.377604989704235
404,true_active_true_active,96,52,97,53,-0.7217069,-1.4039316,1.0,1.0,0.886875,1.0,12.972769331859846,13.858794717658176,16.768613280735014
404,true_active_true_active,96,51,97,52,-0.7217069,1.1569318,1.0,1.0,0.886875,1.0,12.972769331859846,14.065675118046057,17.51778484091107
404,true_active_true_active,96,1,97,2,-0.7217069,-1.4139572,1.0,1.0,0.886875,1.0,12.972769331859846,14.949094597629223,17.280819180648365
404,true_active_true_active,96,32,97,33,-0.7217069,1.9368105,1.0,1.0,0.886875,1.0,12.972769331859846,15.593709731591343,18.232267355266217
404,true_active_true_active,61,73,62,74,-1.9925004,0.7189072,1.0,1.0,1.0,0.65625,13.564469331042037,13.66675539858194,16.811008879579038
404,true_active_true_active,61,52,62,53,-1.9925004,-1.4039316,1.0,1.0,1.0,1.0,13.564469331042037,13.858794717658176,15.614493115871351
404,true_active_true_active,61,51,62,52,-1.9925004,1.1569318,1.0,1.0,1.0,1.0,13.564469331042037,14.065675118046057,17.067015544643173
404,true_active_true_active,61,1,62,2,-1.9925004,-1.4139572,1.0,1.0,1.0,1.0,13.564469331042037,14.949094597629223,16.068956774938297
404,true_active_true_active,61,32,62,33,-1.9925004,1.9368105,1.0,1.0,1.0,1.0,13.564469331042037,15.593709731591343,16.64650690186529
404,true_active_true_active,73,52,74,53,0.7189072,-1.4039316,1.0,1.0,0.65625,1.0,13.66675539858194,13.858794717658176,17.13488096781704
404,true_active_true_active,73,51,74,52,0.7189072,1.1569318,1.0,1.0,0.65625,1.0,13.66675539858194,14.065675118046057,17.857426321821915
404,true_active_true_active,73,1,74,2,0.7189072,-1.4139572,1.0,1.0,0.65625,1.0,13.66675539858194,14.949094597629223,17.56967941694132
404,true_active_true_active,73,32,74,33,0.7189072,1.9368105,1.0,1.0,0.65625,1.0,13.66675539858194,15.593709731591343,17.797402391925903
404,true_active_true_active,52,51,53,52,-1.4039316,1.1569318,1.0,1.0,1.0,1.0,13.858794717658176,14.065675118046057,16.993357758903514
