seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
400,32,33,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.13668227145175002,0.00041153135259640474,0.0027816497792811624,0.02793717300124384,
400,33,34,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,2.773068086234987e-23,-0.009286071316139975,1.40297807848059e-21,0.04889998475563482,
400,34,35,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.07224718276425,-0.00105480429648147,0.0033732909509093436,0.03167995736661891,
400,35,36,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.19849938670249997,0.009072048713827472,0.002646537440374598,0.042075380734640865,
400,36,37,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.0,0.007666813439930757,0.0,0.03958070226604125,
400,37,38,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.1878328833425,0.004378964142923636,0.004524983262420062,0.033987833840189136,
400,38,39,-1.8607761,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.47632792175,-1.7125354525319139,0.0033746055022581397,0.11306575353646338,16.438890713496363
400,39,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.10260957801399999,0.008747104593403306,0.00232519181496544,0.043799333796699015,
400,40,41,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.103137677431,0.0021447805672109026,0.005572658403012424,0.03085434372034427,
400,41,42,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.3449439841272808e-15,-0.005642094913871002,5.559911917295391e-15,0.03520976145763153,
400,42,43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.14317615497999997,-0.004558273787668741,0.0022845777925342104,0.03638176594730554,
400,43,44,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.01717172609,-0.001096287603495226,0.0020997408360203013,0.03140373559744144,
400,44,45,0.0,0,0.0,0.000875,0.000875,0.0003032892030604246,0.0003032892030604246,0,0,False,True,-0.18099153203,-0.029015094668355893,0.003263884702389034,0.08176817064906393,
400,45,46,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,5.33621248531975e-36,0.027503441094228642,2.2769604942526505e-34,0.07502289044062102,
400,46,47,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.30266781231000006,0.007133352862935162,0.004414968701801575,0.04107842106567665,
400,47,48,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.07927698090525,-0.0036458338800548704,0.00284823815382237,0.030559666854401157,
400,48,49,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.22490350533499998,-0.003161562631765908,0.002988037162743349,0.032712617510876646,
400,49,50,1.7504162,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.5718922258749999,1.6878420358888484,0.009127867970233437,0.11771767131722363,12.778078754512585
400,50,51,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.09900592064675,0.0026831404440111058,0.0019429941271173307,0.02880146842529714,
400,51,52,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.15605672056999997,0.002417842602294271,0.003930226484564257,0.029411273785923165,
400,52,53,-1.1843685,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-0.8901295448675001,-1.0621697698687331,0.0028140808599157064,0.10311954502092126,16.000961782635834
400,53,54,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.09412765154625,0.0009761636237224486,0.004377275615950396,0.02864461312083077,
400,54,55,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.425871360546138e-13,-0.0006440037749130916,1.115578946952691e-12,0.027304784507660523,
