seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
400,active_active,38,81,39,82,-1.8607761,1.9855189,0.0,0.0,1.3216590811909397,0.4375990856122662,0.019176379214660498,0.6165978208732179,1.3161169450322916,2.747989811675445
400,active_active,38,25,39,26,-1.8607761,-1.152345,0.0,0.0,1.364629259255001,0.45782032439870235,0.017698784066529753,0.24851979482947834,1.3651311000631707,2.8048190672576223
400,active_active,97,31,98,32,-1.7154912,1.7440584,0.0,0.0,1.2938769020392549,0.4189853710735536,0.0191556408955178,0.8762358393778238,1.300613487474866,2.728801420783138
400,active_active,97,81,98,82,-1.7154912,1.9855189,0.0,0.0,1.3941413174576913,0.45830504199706007,0.01920682268544591,0.6916633650289692,1.3648721524993708,2.8788120163310262
400,active_active,97,25,98,26,-1.7154912,-1.152345,0.0,0.0,1.4371114955217525,0.477650501123749,0.017717224966925644,0.6663427122334766,1.4073739742102902,2.963314097309497
400,active_active,31,81,32,82,1.7440584,1.9855189,0.0,0.0,1.4876363357037723,0.4867269808783173,0.020170359100505676,0.3089526546875785,1.3871472524186648,2.959394141454153
400,active_active,31,25,32,26,1.7440584,-1.152345,0.0,0.0,1.5306065137678335,0.504984795433252,0.01938766603658329,0.5147723032910232,1.4045888429052262,3.0420179830546332
400,active_active,81,25,82,26,1.9855189,-1.152345,0.0,0.0,1.63087092918627,0.5380561438781709,0.018696332174629123,0.05868344545179814,1.4557541735746748,3.1509731447375993
401,active_active,33,61,34,62,-1.8541925,-1.6192368,0.0,0.0,0.3505034735944524,0.0559140103064043,0.017764095384192997,0.741719541218438,0.547036062060118,0.9817439146531028
401,active_active,33,44,34,45,-1.8541925,-1.2233992,0.0,0.0,0.360094419079089,0.04774258812022693,0.02029384029477056,0.5946163106834458,0.5321597038375454,0.9615634728706943
401,active_active,33,10,34,11,-1.8541925,1.2219847,0.0,0.0,0.3745282533340787,0.04616264661792475,0.023041002647758498,0.6574226588951888,0.5271701880630268,0.9778172226103565
401,active_active,33,40,34,41,-1.8541925,0.8038732,0.0,0.00012500000000004174,0.3982218108210636,0.07899119838126024,0.018777083657710598,0.7971165608087895,0.576627994051541,1.0671548517060374
401,active_active,33,4,34,5,-1.8541925,-0.8852809,0.0,0.0004999999999999449,0.42901277711993935,0.08999426066395472,0.02073029445231603,0.6310946938167569,0.5766476138985006,1.0829518600795902
401,active_active,33,68,34,69,-1.8541925,0.8727183,0.0,0.04162500000000002,0.44302720558806274,0.06398593875380311,0.02250974975826287,0.585008904522447,0.5563498687053106,1.0699039960605639
401,active_active,33,25,34,26,-1.8541925,-0.50801575,0.0,0.34624999999999995,0.7502447837216142,0.06898493868167781,0.0217678068742546,0.5011083598638493,0.5585039289263442,1.3711999942210746
401,active_active,61,44,62,45,-1.6192368,-1.2233992,0.0,0.0,0.37727422688430134,0.06335608012021987,0.01875765385048184,0.4749336896277644,0.5440874735859061,0.9798800909076263
401,active_active,61,10,62,11,-1.6192368,1.2219847,0.0,0.0,0.3917080611392911,0.06217417559206945,0.021628143451828136,0.45825196340042057,0.5369955412143728,0.9861532521158698
401,active_active,61,40,62,41,-1.6192368,0.8038732,0.0,0.00012500000000004174,0.415401618626276,0.08929864270799247,0.01698824820365714,0.6884729690955297,0.5963180791131035,1.093743920970646
