run_id,seed,selector,ckpt_id,epoch,tau,score,oracle_score,regret,ratio,final_score
F01_seed_441,441,lasso,30,725,0.8,0.69494019,0.54221424,0.15272595,1.2816708576300024,0.91479465
F01_seed_441,441,final,61,1500,0.8,0.91479465,0.54221424,0.3725804100000001,1.6871461177412088,0.91479465
F01_seed_441,441,min_loss,61,1500,0.8,0.91479465,0.54221424,0.3725804100000001,1.6871461177412088,0.91479465
F01_seed_441,441,min_loss_ema,61,1500,0.8,0.91479465,0.54221424,0.3725804100000001,1.6871461177412088,0.91479465
F01_seed_442,442,oracle,21,500,0.8,0.68312925,0.68312925,0.0,1.0,1.56871755
F01_seed_442,442,lasso,32,775,0.8,0.96411338,0.68312925,0.28098413,1.4113191317748435,1.56871755
F01_seed_442,442,final,61,1500,0.8,1.56871755,0.68312925,0.8855882999999999,2.2963700500307955,1.56871755
F01_seed_442,442,min_loss,61,1500,0.8,1.56871755,0.68312925,0.8855882999999999,2.2963700500307955,1.56871755
F01_seed_442,442,min_loss_ema,61,1500,0.8,1.56871755,0.68312925,0.8855882999999999,2.2963700500307955,1.56871755
F01_seed_443,443,oracle,31,750,0.8,0.53890933,0.53890933,0.0,1.0,1.51328762
F01_seed_443,443,lasso,26,625,0.8,0.80775467,0.53890933,0.26884534000000004,1.4988693367027066,1.51328762
F01_seed_443,443,final,61,1500,0.8,1.51328762,0.53890933,0.9743782900000001,2.8080560787470503,1.51328762
F01_seed_443,443,min_loss,61,1500,0.8,1.51328762,0.53890933,0.9743782900000001,2.8080560787470503,1.51328762
F01_seed_443,443,min_loss_ema,61,1500,0.8,1.51328762,0.53890933,0.9743782900000001,2.8080560787470503,1.51328762
F01_seed_444,444,oracle,33,800,0.8,0.40237683,0.40237683,0.0,1.0,1.28128164
F01_seed_444,444,lasso,28,675,0.8,0.62172339,0.40237683,0.21934655999999997,1.5451272132145382,1.28128164
F01_seed_444,444,final,61,1500,0.8,1.28128164,0.40237683,0.87890481,3.1842828524694125,1.28128164
F01_seed_444,444,min_loss,61,1500,0.8,1.28128164,0.40237683,0.87890481,3.1842828524694125,1.28128164
F01_seed_444,444,min_loss_ema,61,1500,0.8,1.28128164,0.40237683,0.87890481,3.1842828524694125,1.28128164
F01_seed_445,445,oracle,31,750,0.8,0.45167549,0.45167549,0.0,1.0,1.32791246
F01_seed_445,445,lasso,27,650,0.8,0.59741566,0.45167549,0.14574017,1.322665659808107,1.32791246
F01_seed_445,445,final,61,1500,0.8,1.32791246,0.45167549,0.8762369700000001,2.939970154236175,1.32791246
F01_seed_445,445,min_loss,61,1500,0.8,1.32791246,0.45167549,0.8762369700000001,2.939970154236175,1.32791246
F01_seed_445,445,min_loss_ema,61,1500,0.8,1.32791246,0.45167549,0.8762369700000001,2.939970154236175,1.32791246
F01_seed_446,446,oracle,32,775,0.8,0.26436188,0.26436188,0.0,1.0,1.22005602
F01_seed_446,446,lasso,34,825,0.8,0.35583703,0.26436188,0.09147515,1.3460224673844807,1.22005602
F01_seed_446,446,final,61,1500,0.8,1.22005602,0.26436188,0.9556941399999999,4.615098137447048,1.22005602
F01_seed_446,446,min_loss,61,1500,0.8,1.22005602,0.26436188,0.9556941399999999,4.615098137447048,1.22005602
F01_seed_446,446,min_loss_ema,61,1500,0.8,1.22005602,0.26436188,0.9556941399999999,4.615098137447048,1.22005602
F01_seed_447,447,oracle,26,625,0.8,1.06010057,1.06010057,0.0,1.0,2.18139615
F01_seed_447,447,lasso,34,825,0.8,1.27938746,1.06010057,0.21928689,1.2068547986914109,2.18139615
F01_seed_447,447,final,61,1500,0.8,2.18139615,1.06010057,1.12129558,2.057725664650855,2.18139615
F01_seed_447,447,min_loss,61,1500,0.8,2.18139615,1.06010057,1.12129558,2.057725664650855,2.18139615
F01_seed_447,447,min_loss_ema,61,1500,0.8,2.18139615,1.06010057,1.12129558,2.057725664650855,2.18139615
F01_seed_448,448,oracle,25,600,0.8,0.8987495,0.8987495,0.0,1.0,1.863418
F01_seed_448,448,lasso,32,775,0.8,0.95181116,0.8987495,0.05306166000000001,1.0590394320108105,1.863418
F01_seed_448,448,final,61,1500,0.8,1.863418,0.8987495,0.9646685,2.073345242473014,1.863418
F01_seed_448,448,min_loss,61,1500,0.8,1.863418,0.8987495,0.9646685,2.073345242473014,1.863418
F01_seed_448,448,min_loss_ema,61,1500,0.8,1.863418,0.8987495,0.9646685,2.073345242473014,1.863418
F01_seed_449,449,oracle,42,1025,0.8,0.81606458,0.81606458,0.0,1.0,1.23558358
