group,environment,configuration,method,seed,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMCBR,BR,Time_s
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,466,0.5905966533901628,0.0014752003697291861,0.027068749999999992,0.08819726558261316,1.0,0.9999999999999999,0.01159434390625,0.0203993425,1851.61501455307
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,467,0.3214954988680455,0.002638842944396121,0.03341875,0.10490379595729604,1.0,1.0,0.0007303157812500001,0.015718035625,1324.0429809093475
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,468,0.31800395209720267,0.002388623989507729,0.03652249999999999,0.11723174698007362,1.0,0.9999999999999999,0.006922600625,0.026385123749999996,1311.2128937244415
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,469,0.16770266752422525,0.002388623989507729,0.03986375,0.11717192163120824,1.0,0.9999999999999999,0.009603442343750001,0.020744056250000007,7154.524419307709
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,470,0.4931281520756529,0.0020839550777003455,0.0368025,0.11387344263479522,1.0,0.9999999999999999,0.0106912471875,0.02793333,1240.8549494743347
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,471,0.38647547143265265,0.002170983054961518,0.0340875,0.11625753067006024,0.9999999999999999,0.9999999999999999,0.007173778437499999,0.022583871874999998,1226.7154805660248
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,472,0.7869794504712954,0.0013014120679986072,0.045245,0.15584543925793914,1.0,0.9999999999999999,0.009195852187499997,0.037687301250000006,1156.5655319690704
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,473,0.2973738659691092,0.0014752003697291861,0.03283999999999999,0.11376575165663873,1.0,0.9999999999999999,0.02152467125,0.0367511,1448.3851363658905
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,474,0.15165292212558446,0.003566752559443005,0.02247125,0.060718084466244486,1.0,0.9999999999999999,9.166406250000023e-06,0.003984268125000001,1311.6050071716309
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,475,0.5433584592893023,0.0013096914936438307,0.0228875,0.09231427977295821,1.0,0.9999999999999999,0.029106393125000005,0.031603655625000004,1610.4998688697815
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,476,0.5850234972060704,0.002170983054961518,0.02995125,0.07489915616180198,1.0,0.9999999999999999,0.015123415468749998,0.024979254375000003,1645.2895922660828
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,477,0.09091477851159876,0.0028549631973460088,0.0470525,0.1305045138108257,0.9955555555555555,0.9714285714285714,0.008062055625,0.032093245,1516.2975361347198
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,478,1.0419280473857533,0.0014317493644986621,0.04015124999999999,0.1383500107291286,0.9955555555555555,0.9714285714285714,0.017832836718749998,0.03966125562500001,1784.9392802715302
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,479,0.679260378573568,0.0017802938676470472,0.041881249999999995,0.1460538166011077,1.0,0.9999999999999999,0.007148894843749996,0.029649543750000004,1182.6777749061584
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,480,0.680768980392873,0.0010980999656764303,0.04003125,0.13760285868669297,0.9966666666666666,0.9769230769230769,0.01656906734375,0.04514670687499999,1237.0648741722107
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,481,0.5788759841510817,0.0019969428670562413,0.03190875,0.09864283979970366,1.0,0.9999999999999999,0.005927696093749999,0.019199806875000003,1598.7679657936096
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,482,0.19671861085209227,0.001388298359268138,0.037759999999999995,0.1262952851950539,0.9999999999999999,0.9999999999999999,0.0173883046875,0.032426976875,1321.9419004917145
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,483,0.4537455447725752,0.0006936476702818965,0.024169999999999997,0.09267877993370435,0.9694444444444444,0.8541666666666666,0.0465525,0.067831108125,3342.1139137744904
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,484,0.4887896255930587,0.00272509399936136,0.0323475,0.1125337074502569,1.0,0.9999999999999999,0.005659693437499999,0.018836255625000003,1409.6418220996857
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,485,0.17455114058069737,0.0015621181052976755,0.03754124999999999,0.13272273319311204,1.0,0.9999999999999999,0.0035777164062500005,0.031151060000000005,1166.4160804748535
